Name,Company,Annual_compensation
Terry S Semel,Yahoo,230554000
Barry Diller,IAC/InterActiveCorp,156168000
William W McGuire,UnitedHealth Group,124774000
Howard Solomon,Forest Labs,92116000
George David,United Technologies,88712000
Lew Frankfort,Coach,86481000
Edwin M Crawford,Caremark Rx,77864000
Ray R Irani,Occidental Petroleum,64136000
Angelo R Mozilo,Countrywide Financial,56956000
Richard D Fairbank,Capital One Financial,56660000
C John Wilder,TXU,54874000
Richard M Kovacevich,Wells Fargo,53083000
Robert I Toll,Toll Brothers,50240000
Lawrence J Ellison,Oracle,45804000
William E Greehey,Valero Energy,44875000
Irwin M Jacobs,Qualcomm,44422000
Rodney B Mott,Intl Steel Group,42747000
John T Chambers,Cisco Systems,40178000
Richard S Fuld Jr,Lehman Bros Holdings,40132000
Bruce E Karatz,KB Home,38816000
Jerry A Grundhofer,US Bancorp,38584000
Kevin B Rollins,Dell,38469000
Bob R Simpson,XTO Energy,38335000
Dwight C Schar,NVR,38234000
James R Tobin,Boston Scientific,38149000
Raymond V Gilmartin,Merck & Co,37787000
Frederick W Smith,FedEx,36410000
Larry A Mizel,MDC Holdings,34562000
Nicholas D Chabraja,General Dynamics,34400000
Douglas L Rock,Smith International,34352000
Jerald G Fishman,Analog Devices,34219000
William P Foley II,Fidelity National Finl,33905000
Philip J Purcell,Morgan Stanley,33713000
John G Drosdick,Sunoco,33436000
Jay Sugarman,iStar Financial,32929000
W James Farrell,Illinois Tool Works,32633000
Paul M Montrone,Fisher Scientific,31825000
Stephen F Bollenbach,Hilton Hotels,31430000
Timothy M Donahue,Nextel Commun,31155000
Willem P Roelandts,Xilinx,29144000
Edward M Liddy,Allstate,26721000
James E Cayne,Bear Stearns Cos,26260000
David C Novak,Yum Brands,25970000
Lee R Raymond,ExxonMobil,25773000
Richard K Davidson,Union Pacific,25315000
Larry C Glasscock,WellPoint,24970000
Lawrence F Probst III,Electronic Arts,24240000
Edward H Linde,Boston Properties,24195000
Henry R Silverman,Cendant,23997000
John W Thompson,Symantec,23830000
Richard C Adkerson,Freeport Copper,23674000
Robert J Ulrich,Target,23065000
Robert L Nardelli,Home Depot,22804000
John W Rowe,Aetna,22219000
Todd S Nelson,Apollo-Education Group,22088000
J W Stewart,BJ Services,21903000
J Terrence Lanni,MGM Mirage,21754000
Bobby S Shackouls,Burlington Resources,20758000
Thos E Capps,Dominion Resources,20100000
Raymond A Mason,Legg Mason,19706000
William R Berkley,WR Berkley,19604000
George W Buckley,Brunswick,19113000
Sumner M Redstone,Viacom,19101000
Stuart A Miller,Lennar,19098000
Henri A Termeer,Genzyme,19069000
William B Harrison Jr,JPMorgan Chase,18814000
Kenneth I Chenault,American Express,18284000
Brian L Halla,Natl Semiconductor,18266000
Thomas M Ryan,CVS,18210000
Bruce Chizen,Adobe Systems,18005000
Reuben Mark,Colgate-Palmolive,17964000
Bruce L Hammonds,MBNA,17438000
Edward E Whitacre Jr,SBC Communications,17402000
K Rupert Murdoch,News Corp,17226000
David J Lesar,Halliburton,16931000
Norman H Wesley,Fortune Brands,16914000
James J Mulva,ConocoPhillips,16789000
Harold W McGraw III,McGraw-Hill Cos,16705000
J Raymond Elliott,Zimmer Holdings,16523000
Robert G Wilmers,M&T Bank,16426000
J Willard Marriott Jr,Marriott Intl,16350000
Lewis B Campbell,Textron,16082000
Kerry K Killinger,Washington Mutual,15671000
John C Martin,Gilead Sciences,15118000
James E Rogers,Cinergy,14574000
Samuel J Palmisano,IBM,14394000
Brian L Roberts,Comcast,14252000
Timothy R Eller,Centex,14244000
Steven A Burd,Safeway,14041000
Alan L Boeckmann,Fluor,14026000
Andrea Jung,Avon Products,13991000
Henry A McKinnell,Pfizer,13983000
Kenneth L Schroeder,KLA-Tencor,13886000
J Steven Whisler,Phelps Dodge,13852000
Steven S Reinemund,PepsiCo,13808000
Frederic M Poses,American Standard,13653000
Jeffrey A Rich,Affiliated Computer,13624000
Stephen L Baum,Sempra Energy,13512000
Ara K Hovnanian,Hovnanian Enterprises,13407000
John H Hammergren,McKesson,13371000
H Edward Hanway,Cigna,13312000
Craig R Barrett,Intel,13292000
James T Hackett,Anadarko Petroleum,13262000
Joseph W Luter III,Smithfield Foods,13227000
Thomas A Renyi,Bank of New York,13153000
Charles O Prince,Citigroup,13048000
Robert A Eckert,Mattel,12846000
Paul J Curlander,Lexmark International,12821000
Alexander M Cutler,Eaton,12647000
Jeffrey R Immelt,General Electric,12578000
Alston D Correll,Georgia-Pacific,12512000
Donald J Tomnitz,DR Horton,12090000
Alan G Lafley,Procter & Gamble,12087000
William R Johnson,HJ Heinz,11845000
John P Surma,US Steel,11793000
Donald K Peterson,Avaya,11780000
Ivan G Seidenberg,Verizon Commun,11543000
Gregg L Engles,Dean Foods,11516000
John W Rowe,Exelon,11503000
Jon A Boscia,Lincoln National,11404000
Vernon W Hill II,Commerce Bancorp,11382000
Marion O Sandler,Golden West Finl,11252000
John F Gifford,Maxim Integrated Prods,11205000
Mark G Papa,EOG Resources,11115000
John T Cahill,Pepsi Bottling Group,11007000
George A Schaefer Jr,Fifth Third Bancorp,10970000
Peter Cartwright,Calpine,10791000
J Wayne Leonard,Entergy,10738000
Richard D Parsons,Time Warner,10730000
Gary W Loveman,Harrah's Entertain,10711000
R David Hoover,Ball,10674000
Ronald L Sargent,Staples,10618000
David R Goode,Norfolk Southern,10606000
Aubrey K McClendon,Chesapeake Energy,10598000
W James McNerney Jr,3M,10312000
John H Tyson,Tyson Foods,10292000
Leonard H Roberts,RadioShack,10160000
Edward J Ludwig,Becton Dickinson,10042000
Richard H Lenny,Hershey Foods,9903000
James L Ziemer,Harley-Davidson,9800000
Arthur F Ryan,Prudential Financial,9725000
Matthew K Rose,Burlington Santa Fe,9468000
Emanuel J Friedman,Friedman Billings,9458000
David M Cote,Honeywell,9419000
G Kennedy Thompson,Wachovia,9394000
Paul R Charron,Liz Claiborne,9246000
C Dowd Ritter,AmSouth Bancorp,9240000
Matthew D Serra,Foot Locker,9175000
Robert H Benmosche,MetLife,9056000
Dennis H Reilley,Praxair,8993000
R Lawrence Montgomery,Kohl's,8830000
Robert L Moody,American Natl Ins,8829000
Leslie M Muma,Fiserv,8819000
Glenn M Renwick,Progressive,8701000
H Lee Scott Jr,Wal-Mart Stores,8668000
F Duane Ackerman,BellSouth,8625000
Daniel P Amos,Aflac,8558000
Michael R Splinter,Applied Materials,8511000
G Richard Wagoner Jr,General Motors,8509000
David A Daberko,National City,8444000
Bruce Rohde,ConAgra Foods,8427000
John M Barth,Johnson Controls,8324000
Michael D Eisner,Walt Disney,8312000
Nolan D Archibald,Black & Decker,8309000
David W Dorman,AT&T,8247000
David J O'Reilly,ChevronTexaco,8170000
Irl F Engelhardt,Peabody Energy,8115000
Robert E Rossiter,Lear,7978000
Van B Honeycutt,Computer Sciences,7939000
Eugene R McGrath,Consolidated Edison,7878000
Thomas P Mac Mahon,Laboratory Corp Amer,7849000
Raymond W LeBoeuf,PPG Industries,7522000
Richard J Dugas Jr,Pulte Homes,7517000
Terry J Lundgren,Federated Dept Strs,7464000
Arthur F Weinbach,Automatic Data,7427000
Kenneth D Lewis,Bank of America,7408000
Richard A Manoogian,Masco,7406000
William A Osborn,Northern Trust,7263000
Sidney Taurel,Eli Lilly and Co,7221000
Scott G McNealy,Sun Microsystems,7185000
David N Farr,Emerson Electric,7154000
Daniel H Mudd,Fannie Mae,7115000
John E Bryson,Edison International,6998000
Lawrence R Johnston,Albertsons,6979000
George E Bull III,Redwood Trust,6954000
Edmond J English,TJX Cos,6938000
Ronald D Sugar,Northrop Grumman,6910000
David T Brown,Owens Corning,6838000
Ronald E Hermance Jr,Hudson City Bancorp,6815000
David W Bernauer,Walgreen,6740000
Joseph M Tucci,EMC,6736000
Louis C Camilleri,Altria Group,6678000
John V Faraci,International Paper,6573000
Leslie H Wexner,Limited Brands,6557000
Edward J Zander,Motorola,6506000
Paul M Anderson,Duke Energy,6506000
Robert A Essner,Wyeth,6505000
Christopher J Nassetta,Host Marriott,6504000
Richard C Vie,Unitrin,6497000
Anthony J Alexander,FirstEnergy,6491000
Luke R Corbett,Kerr-McGee,6435000
James H Blanchard,Synovus Finl,6380000
Thomas J Falk,Kimberly-Clark,6358000
Lewis Hay III,FPL Group,6344000
Russell Goldsmith,City National,6324000
Robert W Lane,Deere & Co,6306000
Dennis J Kuester,Marshall & Ilsley,6301000
Mark V Hurd,Hewlett-Packard,6200000
William C Weldon,Johnson & Johnson,6168000
Wayne W Murdy,Newmont Mining,6117000
John Adam Kanas,North Fork Bancorp,6023000
Alain J P Belda,Alcoa,5991000
Henry M Paulson Jr,Goldman Sachs Group,5951000
Richard J Schnieders,Sysco,5944000
Michael J Jackson,AutoNation,5893000
G Steven Farris,Apache,5838000
E Neville Isdell,Coca-Cola,5825000
John D Finnegan,Chubb,5798000
Kevin W Sharer,Amgen,5684000
Michael S McGavick,Safeco,5661000
William Clay Ford Jr,Ford Motor,5603000
James E Rohr,PNC Financial Services,5540000
Joseph R Tomkinson,Impac Mortgage Holding,5518000
Ronald W Dollens,Guidant,5412000
James M Kilts,Gillette,5409000
Martin L Flanagan,Franklin Resources,5391000
John A Allison IV,BB&T,5384000
Charles T Fote,First Data,5370000
Mark C Pigott,Paccar,5289000
Robert J Keegan,Goodyear,5226000
Dan F Smith,Lyondell Chemical,5127000
Patrick T Stokes,Anheuser-Busch Cos,5082000
Robert J Stevens,Lockheed Martin,4939000
Myron E Ullman III,JC Penney,4916000
Richard C Notebaert,Qwest Communications,4906000
Douglas H McCorkindale,Gannett,4898000
Parker S Kennedy,First American,4877000
Scott T Ford,Alltel,4870000
Steven R Rogel,Weyerhaeuser,4845000
Clarence P Cazalot Jr,Marathon Oil,4839000
James L Dolan,Cablevision NY Group,4817000
John C Plant,TRW Automotive Hldgs,4810000
Salomon Levis,Doral Financial,4808000
Theodore M Solso,Cummins,4785000
Daniel R DiMicco,Nucor,4778000
Patricia F Russo,Lucent Technologies,4739000
R Scot Sellers,Archstone-Smith,4722000
Arthur D Collins Jr,Medtronic,4704000
Jeffrey H Schwartz,ProLogis,4700000
George J Harad,OfficeMax,4699000
Peter A Darbee,PG&E,4679000
Mitchell H Caplan,E-Trade Financial,4678000
Joel W Johnson,Hormel Foods,4601000
Mayo A Shattuck III,Constellation Energy,4499000
Ronald E Logue,State Street,4492000
Henry L Meyer III,KeyCorp,4491000
Gary D Forsee,Sprint,4490000
Gregory T Swienton,Ryder System,4482000
Dennis J FitzSimons,Tribune,4436000
Miles D White,Abbott Laboratories,4417000
Dennis R Glass,Jefferson-Pilot,4408000
Bruce A Smith,Tesoro,4387000
Daniel A Carp,Eastman Kodak,4365000
H Lawrence Culp Jr,Danaher,4292000
James W Owens,Caterpillar,4281000
Rick R Holley,Plum Creek Timber,4242000
Joseph Neubauer,Aramark,4222000
Surya N Mohapatra,Quest Diagnostics,4216000
P Anthony Ridder,Knight Ridder,4209000
Hugh Grant,Monsanto,4209000
Glen F Post III,CenturyTel,4191000
Richard L Keyser,WW Grainger,4184000
George L Engelke Jr,Astoria Financial,4160000
John R Alm,Coca-Cola Enterprises,4086000
David M Ratcliffe,Southern Co,4080000
Peter Boneparth,Jones Apparel Group,4043000
George Paz,Express Scripts,4034000
Daniel J Starks,St Jude Medical,3964000
William B Timmerman,Scana,3946000
John B Hess,Amerada Hess,3912000
Vincent A Gierer Jr,UST,3911000
James A Skinner,McDonald's,3910000
William Wrigley Jr,Wm Wrigley Jr,3890000
Michael J Critelli,Pitney Bowes,3831000
Gary L Neale,NiSource,3750000
Michael R Cannon,Solectron,3734000
John A Edwardson,CDW,3705000
John P Jones III,Air Prods & Chems,3702000
William S Kirsch,Conseco,3700000
Fred Hassan,Schering-Plough,3641000
John D Wren,Omnicom Group,3638000
Donald E Washkewicz,Parker-Hannifin,3631000
E Stanley O'Neal,Merrill Lynch,3610000
Jeffrey M Peek,CIT Group,3552000
Charles O Holliday Jr,EI du Pont de Nemours,3552000
Peter R Dolan,Bristol-Myers Squibb,3537000
John Swainson,Computer Associates,3500000
Gary L Bloom,Veritas Software,3492000
J Barry Griswell,Principal Financial,3464000
E James Ferland,Pub Svc Enterprise,3444000
David L Kyle,Oneok,3437000
William H Swanson,Raytheon,3402000
Anthony F Earley Jr,DTE Energy,3392000
Ramani Ayer,Hartford Finl Service,3384000
Howard G Phanstiel,PacifiCare Health,3380000
Gregory C Case,Aon,3375000
Curt S Culver,MGIC Investment,3366000
Raj L Gupta,Rohm and Haas,3348000
Christopher M Connor,Sherwin-Williams,3345000
John D Johns,Protective Life,3339000
John A Luke Jr,MeadWestvaco,3304000
J Kerry M Clayton,Assurant,3299000
Scott D Sheffield,Pioneer Natural Res,3297000
Albert L Lord,SLM,3295000
Ralph W Babb Jr,Comerica,3239000
Jay S Fishman,St Paul Travelers,3234000
Michael A Stocker,WellChoice,3219000
Robert K Cole,New Century Financial,3219000
Andrew N Liveris,Dow Chemical,3203000
Mackey J McDonald,VF,3186000
Joseph W Saunders,Providian Financial,3178000
Robert B Catell,KeySpan,3176000
Bradbury H Anderson,Best Buy,3176000
Lars Westerberg,Autoliv,3171000
Mark P Mays,Clear Channel Commun,3166000
Michael G Morris,American Electric,3159000
D Paul Jones Jr,Compass Bancshares,3146000
Joseph Galli Jr,Newell Rubbermaid,3138000
William P Lauder,Estee Lauder Cos,3060000
Michael D Capellas,MCI,3060000
Gale E Kappa,Wisconsin Energy,3057000
Michael L Eskew,United Parcel Service,3057000
Anne M Mulcahy,Xerox,3040000
G Allen Andreas,Archer Daniels,3031000
Charles W Ergen,EchoStar Commun,3031000
Jeffrey Noddle,Supervalu,3008000
Mark A Angelson,RR Donnelley & Sons,3000000
Gary C Dunton,MBIA,2987000
Jack O Bovender Jr,HCA,2978000
Ronald L Havner Jr,Public Storage,2977000
Robert B McGehee,Progress Energy,2949000
Daniel C Ustian,Navistar Intl,2945000
Jeffrey A Joerres,Manpower,2929000
Martin G McGuinn,Mellon Finl,2927000
Margaret C Whitman,Ebay,2908000
Patrick J Moore,Smurfit-Stone,2900000
Richard D Kincaid,Equity Office Prop,2885000
Marshall O Larsen,Goodrich,2881000
J Kenneth Glass,First Horizon National,2869000
Mary F Sammons,Rite Aid,2867000
Paul T Hanrahan,AES,2849000
Steve Odland,Office Depot,2843000
J T Battenberg III,Delphi,2829000
Paul S Pressler,Gap,2783000
Ronald L Hoffman,Dover,2768000
Clayton M Jones,Rockwell Collins,2768000
Douglas R Conant,Campbell Soup,2662000
Claiborne P Deming,Murphy Oil,2658000
David A Perdue Jr,Dollar General,2654000
William F Hecht,PPL,2619000
L Phillip Humann,SunTrust Banks,2599000
John L Dunham,May Dept Stores,2588000
Stephen W Sanger,General Mills,2563000
David M McClanahan,CenterPoint Energy,2552000
Joel V Staff,Reliant Energy,2536000
Richard F Syron,Freddie Mac,2519000
Steven J Malcolm,Williams Cos,2515000
Wallace R Barr,Caesars Entertainment,2504000
James J O'Brien,Ashland,2499000
Charles R Williamson,Unocal,2489000
Robert A Niblock,Lowe's Cos,2480000
John H Eyler Jr,Toys 'R' Us,2473000
Carl E Jones Jr,Regions Financial,2471000
Clifton H Morris Jr,AmeriCredit,2468000
Richard K Templeton,Texas Instruments,2466000
Wayne H Brunetti,Xcel Energy,2462000
David E I Pyott,Allergan,2426000
David B Dillon,Kroger,2415000
Thomas C Gallagher,Genuine Parts,2415000
Kent B Foster,Ingram Micro,2398000
Trevor Fetter,Tenet Healthcare,2395000
James S Tisch,Loews,2380000
Gerald E Johnston,Clorox,2377000
Michael B McCallister,Humana,2374000
Stephen P MacMillan,Stryker,2373000
Janet L Robinson,New York Times,2369000
William A Cooper,TCF Financial,2342000
Wendell P Weeks,Corning,2333000
Simon P Duffy,NTL,2323000
J Larry Nichols,Devon Energy,2312000
Steven R McCracken,Owens-Illinois,2307000
Joseph H Moglia,Ameritrade Holding,2307000
William E Mitchell,Arrow Electronics,2302000
Thomas J Matthews,Intl Game Technology,2297000
Blake W Nordstrom,Nordstrom,2285000
J Brian Ferguson,Eastman Chemical,2277000
Hector de J Ruiz,Advanced Micro,2276000
J Herbert Boydstun,Hibernia,2271000
Michael F Johnston,Visteon,2263000
Raymond W McDaniel Jr,Moody's,2258000
Jeff M Fettig,Whirlpool,2257000
James L Donald,Starbucks,2256000
Sheldon G Adelson,Las Vegas Sands,2250000
Susan M Ivey,Reynolds American,2247000
Michael H Jordan,Electronic Data Sys,2220000
Gary L Rainwater,Ameren,2207000
Scott D Farmer,Cintas,2187000
Michel Mayer,Freescale Semi,2175000
Michael J Ward,CSX,2143000
Martin J Sullivan,American Intl Group,2132000
Douglas L Foshee,El Paso,2112000
Robert J Genader,Ambac Financial Group,2092000
Peter R Huntsman,Huntsman,2067000
Steven Roth,Vornado Realty,2063000
William D Perez,NIKE,2053000
Frank C Lanza,L-3 Communications,2034000
W G Jurgensen,Nationwide Financial,2030000
Robert L Parkinson Jr,Baxter International,2024000
Robert R Bennett,Liberty Media,2018000
Chase Carey,Directv Group,2000000
Wesley W von Schack,Energy East,1999000
David P Steiner,Waste Management,1996000
Steven R Loranger,ITT Industries,1970000
LeRoy T Carlson Jr,Tele & Data Systems,1963000
Alan H Fishman,Independence Community,1953000
Michael G Cherkasky,Marsh & McLennan,1950000
James C Mullen,Biogen Idec,1925000
Kenneth M Jastrow II,Temple-Inland,1925000
Keith D Nosbusch,Rockwell Automation,1898000
Richard Sands,Constellation Brands,1897000
A C Zucaro,Old Republic Intl,1882000
Timothy L Main,Jabil Circuit,1846000
Cristobal Conde,SunGard Data Systems,1842000
Harris H Simmons,Zions Bancorp,1837000
Paul S Beideman,Associated Banc-Corp,1815000
Thomas R Watjen,UnumProvident,1784000
Jay S Sidhu,Sovereign Bancorp,1784000
Richard L Carrion,Popular,1781000
Mark A Ernst,H&R Block,1779000
Christopher J Kearney,SPX,1750000
Frank P Filipps,Radian Group,1731000
Joseph R Ficalora,New York Community,1662000
David B Snow Jr,Medco Health,1629000
Jeffrey S Lorberbaum,Mohawk Industries,1626000
Dale B Wolf,Coventry Health Care,1600000
Joseph V Vumbacco,Health Management,1592000
Carl H Lindner III,American Finl Group,1591000
James A Bell,Boeing,1572000
Steven J Heyer,Starwood Hotels,1559000
Steven R Appleton,Micron Technology,1547000
R David Yost,AmerisourceBergen,1540000
Dean A Scarborough,Avery Dennison,1537000
Edward J Kelly III,Mercantile Bkshs,1536000
Douglas M Baker Jr,Ecolab,1534000
Bruce W Duncan,Equity Residential,1510000
Alan J Lacy,Sears Holdings,1500000
Dennis R Wrasse,Pepco Holdings,1471000
Chad C Deaton,Baker Hughes,1437000
William J Post,Pinnacle West,1417000
Lothar Maier,Linear Technology,1325000
Jure Sola,Sanmina-SCI,1319000
Terry Considine,Apartment Investment,1308000
Howard R Levine,Family Dollar Stores,1251000
William P Sullivan,Agilent Technologies,1251000
Glenn F Tilton,UAL,1242000
Thomas E Hoaglin,Huntington Bancshs,1238000
David Simon,Simon Property Group,1228000
William C Rhodes III,AutoZone,1200000
Robert D Walter,Cardinal Health,1162000
Clarence Otis Jr,Darden Restaurants,1158000
Michael I Roth,Interpublic Group,1100000
James M Jenness,Kellogg,1050000
William V Hickey,Sealed Air,1049000
Charles W Shivery,Northeast Utilities,1046000
John J Schiff Jr,Cincinnati Financial,999000
Steven H Temares,Bed Bath & Beyond,931000
Charles R Schwab,Charles Schwab,911000
Steven A Ballmer,Microsoft,910000
C B Hudson,Torchmark,807000
Jonathan J Judge,Paychex,800000
Lawrence W Kellner,Continental Airlines,791000
Gerard J Arpey,AMR,686000
Gary C Kelly,Southwest Airlines,628000
Jefferson F Allen,Premcor,600000
Dane A Miller,Biomet,593000
James D Sinegal,Costco Wholesale,578000
Douglas M Steenland,Northwest Airlines,524000
Scott Kriens,Juniper Networks,437000
Felix E Wright,Leggett & Platt,423000
Donald E Graham,Washington Post,411000
Gerald Grinstein,Delta Air Lines,382000
John Bucksbaum,General Growth Prop,235000
Warren E Buffett,Berkshire Hathaway,100000
Eric E Schmidt,Google,86000
Jeffrey P Bezos,Amazon.com,82000
Steven P Jobs,Apple Computer,0
Richard D Kinder,Kinder Morgan,0
