Sex,Age,Relationship_duration,Images,PartnerAttractiveness,LoveForPartner,ImagePleasantness
Male,43,3.75,Nudes,7,5.84615384615385,5.9375
Female,26,3,Nudes,6.33333333333333,5.07692307692308,4.75
Female,35,5.25,Abstract art,9,7.92307692307692,6.25
Female,31,2,Abstract art,7.33333333333333,5.84615384615385,5.5625
Female,23,4,Abstract art,9,8.38461538461539,2.375
Male,36,19.9167,Nudes,5.33333333333333,7.53846153846154,5.125
Male,58,22.5,Abstract art,7.66666666666667,7.84615384615385,4.875
Female,28,3.41667,Abstract art,7.66666666666667,8.38461538461539,5.3125
Male,55,4.75,Nudes,7,8.92307692307692,6.75
Female,47,26.25,Abstract art,8,5.15384615384615,4.875
Female,38,5.25,Nudes,9,8.76923076923077,6.1875
Male,32,6.41667,Abstract art,7.33333333333333,7,4.75
Male,35,8.58333,Nudes,4.66666666666667,5.61538461538461,6.3125
Female,33,4,Abstract art,9,8.61538461538461,6.8125
Female,32,14.0833,Abstract art,6.33333333333333,8.15384615384615,3.75
Female,33,7.83333,Nudes,7,6,3.8125
Male,30,3.5,Abstract art,8.33333333333333,5.38461538461539,4.8125
Male,39,16.75,Abstract art,8.33333333333333,6.76923076923077,4.8125
Male,35,12,Nudes,7,7.92307692307692,4.6875
Female,24,3.25,Nudes,8,8.23076923076923,5.625
Male,44,18,Abstract art,6.66666666666667,6.46153846153846,4.0625
Male,42,8,Nudes,6,5.30769230769231,5.625
Male,29,2,Abstract art,4.33333333333333,6.23076923076923,5.125
Male,29,2.16667,Abstract art,9,3.69230769230769,5.3125
Female,31,7.25,Abstract art,1,3.46153846153846,3.25
Female,33,4,Abstract art,9,8.61538461538461,6.5625
Male,24,3.5,Abstract art,7,7.46153846153846,3.9375
Male,28,5.25,Abstract art,9,8.23076923076923,4.6875
Male,34,1.41667,Nudes,4.33333333333333,7.46153846153846,5.75
Female,62,42.75,Abstract art,6.66666666666667,7.92307692307692,3.625
Female,41,13.25,Nudes,7,8.46153846153846,4.5
Female,22,4.16667,Abstract art,5.33333333333333,6.23076923076923,5.5625
Male,36,1.75,Abstract art,6.33333333333333,6.30769230769231,5.25
Male,31,5.16667,Abstract art,5.66666666666667,4.76923076923077,4.3125
Female,43,15,Nudes,9,8.76923076923077,3.25
Female,23,1.33333,Abstract art,9,8.84615384615385,5.25
Male,48,7.41667,Nudes,8,7.76923076923077,4.125
Female,26,2.25,Nudes,7.33333333333333,7.92307692307692,5.625
Female,28,10.4167,Abstract art,4,7,5.5
Male,55,33.3333,Abstract art,6.33333333333333,5.76923076923077,3.625
Female,51,8,Abstract art,8,8.30769230769231,4.5
Male,32,1.5,Abstract art,6,7.76923076923077,4.625
Male,38,12.9167,Abstract art,6,5.76923076923077,4.8125
Male,28,3.16667,Nudes,7,5.61538461538461,6
Male,52,28,Abstract art,9,8.76923076923077,6.1875
Male,28,5.25,Nudes,7,7.38461538461539,5.625
Male,27,6.58333,Nudes,9,6.30769230769231,5.5
Male,43,3,Nudes,8.33333333333333,8.38461538461539,6.5625
Female,29,12.5,Abstract art,7,6.30769230769231,5.0625
Female,38,2.08333,Abstract art,9,8.53846153846154,4.75
Female,42,2.5,Abstract art,4.33333333333333,6.15384615384615,6.1875
Male,44,23.5,Abstract art,5.33333333333333,7.15384615384615,3.875
Female,21,5.33333,Abstract art,9,8.61538461538461,5.8125
Male,45,2.91667,Abstract art,8,8.23076923076923,5.8125
Male,32,15.25,Nudes,5,4.61538461538461,4.9375
Male,24,1.83333,Nudes,8.33333333333333,6.92307692307692,5.3125
Female,28,3.5,Nudes,6,6.53846153846154,4.5625
Female,22,0.583333,Nudes,8,7.69230769230769,2.875
Male,18,0.25,Nudes,6.33333333333333,8.23076923076923,5.25
Female,23,3.25,Nudes,9,8.61538461538461,3.375
Male,33,6,Abstract art,7.33333333333333,7.69230769230769,6.1875
Male,46,3.66667,Nudes,7,7.69230769230769,6.875
Female,40,10.1667,Abstract art,9,6.61538461538461,5.0625
Female,41,21.9167,Abstract art,5.66666666666667,7.92307692307692,4.4375
Male,40,15.8333,Nudes,7,6.46153846153846,7
Male,28,3,Nudes,8.33333333333333,7.07692307692308,5.75
Female,21,4,Nudes,8.33333333333333,8.38461538461539,4.375
Female,36,6.75,Nudes,9,7,6.8125
Male,38,11,Abstract art,8.33333333333333,7.46153846153846,3.3125
Male,37,9.08333,Nudes,9,7.23076923076923,5
Male,41,11.0833,Nudes,8,7.53846153846154,6.3125
Female,52,8.33333,Abstract art,8.33333333333333,7.53846153846154,4.625
Female,36,1.91667,Abstract art,6.33333333333333,7.15384615384615,4.8125
Female,24,7,Abstract art,8.66666666666667,8.84615384615385,4.125
Male,63,7.41667,Nudes,7.66666666666667,8.30769230769231,5
Female,29,1.33333,Abstract art,5,6.76923076923077,1
Male,29,2.25,Nudes,5.66666666666667,8.23076923076923,4.6875
Female,56,6.58333,Nudes,8.33333333333333,8.53846153846154,5.9375
Male,26,0.333333,Abstract art,5.33333333333333,5.38461538461539,4.9375
Male,29,11.9167,Nudes,9,8.92307692307692,6.9375
Female,38,5.33333,Nudes,4.66666666666667,5.92307692307692,3.9375
Male,46,15.1667,Abstract art,8.33333333333333,7.46153846153846,4.5
Female,38,14.5833,Abstract art,7.33333333333333,6.38461538461539,5.375
Male,31,3.33333,Abstract art,6.66666666666667,6.69230769230769,4.6875
Male,32,4.33333,Abstract art,5.33333333333333,7.15384615384615,5.5625
Female,36,12.6667,Abstract art,8.66666666666667,8.15384615384615,6.9375
Male,55,3,Nudes,7,6.15384615384615,5.5
Female,49,6.75,Abstract art,6,5.30769230769231,4.875
Male,37,2,Nudes,7,7,7
Female,36,9.41667,Nudes,7.66666666666667,8.15384615384615,3.1875
Male,30,NA,Nudes,8.33333333333333,7.92307692307692,5.1875
Male,20,0.833333,Nudes,7.66666666666667,7.07692307692308,4.0625
Female,29,7.25,Nudes,7.66666666666667,5.84615384615385,5.5
Male,64,6.83333,Abstract art,7,8.84615384615385,5.6875
Female,28,9.83333,Nudes,8.33333333333333,8.84615384615385,1
Female,27,5,Abstract art,7,8.15384615384615,4.75
Male,58,30.3333,Nudes,4.66666666666667,8.61538461538461,7
Female,46,10.5,Abstract art,7,4.76923076923077,4.9375
Female,25,2,Nudes,6.33333333333333,9,4.375
Female,56,15.5,Abstract art,6,6.69230769230769,4.4375
Male,26,4,Nudes,5.66666666666667,9,1.125
Male,36,2.25,Abstract art,6.66666666666667,7.23076923076923,5.6875
Female,24,1.25,Nudes,6.66666666666667,6.61538461538461,3.8125
Male,31,6.08333,Abstract art,6.33333333333333,5.15384615384615,3.3125
Male,32,4.75,Abstract art,7.33333333333333,7.15384615384615,5.625
Female,43,23.5833,Abstract art,9,7.38461538461539,5.75
Male,37,8.58333,Nudes,7.33333333333333,7.46153846153846,5.1875
Female,26,5.33333,Abstract art,7,7.92307692307692,5.0625
Female,52,30,Nudes,6.33333333333333,6,1.1875
Female,62,1.83333,Nudes,8,7.84615384615385,2
Male,24,3,Nudes,6.66666666666667,6.84615384615385,5.6875
Female,33,4,Nudes,6,5.84615384615385,5.375
Male,34,5.33333,Nudes,5.33333333333333,5.76923076923077,5.625
Female,52,37.0833,Nudes,6.66666666666667,6.61538461538461,5
Female,31,12.3333,Abstract art,7,8.30769230769231,5.375
Female,49,30,Abstract art,9,7.69230769230769,2.5625
Male,32,16,Nudes,7.33333333333333,7.84615384615385,5.625
Male,49,22.1667,Abstract art,7.33333333333333,7.69230769230769,6.125
Female,30,5.66667,Abstract art,7,6.61538461538461,4.625
Female,23,2.33333,Nudes,8,7,6
Male,41,2.83333,Abstract art,8,8.69230769230769,5
Male,61,30.8333,Abstract art,7.33333333333333,7.23076923076923,4.4375
Male,39,4.16667,Nudes,6.66666666666667,4.92307692307692,6.3125
Female,33,12.1667,Abstract art,9,8.07692307692308,4.4375
Male,29,NA,Abstract art,5,5.92307692307692,4.25
Male,20,3.16667,Abstract art,8.33333333333333,7.07692307692308,4.625
Female,25,7,Abstract art,8.66666666666667,8.38461538461539,3.625
Female,30,9.16667,Nudes,9,8.53846153846154,5
Male,39,5.5,Abstract art,7,6,3.8125
Male,58,32,Abstract art,7.33333333333333,6.76923076923077,3.5625
Male,30,5.25,Nudes,7.33333333333333,6.61538461538461,3.5
Male,31,2,Abstract art,8.66666666666667,8.76923076923077,5.1875
Female,25,4.33333,Abstract art,7,6.38461538461539,5
Female,30,8.25,Abstract art,6,7.92307692307692,4.125
Male,27,2,Abstract art,7.66666666666667,6.76923076923077,6
Male,25,1.16667,Nudes,3.66666666666667,2.23076923076923,2.3125
Male,19,1.58333,Nudes,8.33333333333333,7.84615384615385,6.6875
Male,25,8.5,Abstract art,8,6,4.8125
Male,25,1.16667,Abstract art,5.33333333333333,5.23076923076923,3.625
Male,25,2.41667,Nudes,6.66666666666667,7.38461538461539,5.1875
Male,42,8.41667,Abstract art,7.33333333333333,7.53846153846154,1.875
Male,36,3.41667,Nudes,8,7.76923076923077,5.125
Female,20,0.666667,Nudes,7.66666666666667,8.23076923076923,4.3125
Male,42,10.5,Abstract art,7,5.23076923076923,3.5
Female,36,12.9167,Nudes,7.66666666666667,8.76923076923077,4.8125
Male,NA,3.33333,Nudes,8,7.76923076923077,3.8125
Male,64,34.75,Nudes,4,4.23076923076923,5.0625
Male,61,NA,Abstract art,1,5,4.25
Male,19,2.5,Abstract art,8,5.23076923076923,5.1875
Female,53,34.75,Nudes,5,6.07692307692308,3.625
Male,53,24.8333,Nudes,7.66666666666667,5.92307692307692,7
Male,43,3.16667,Abstract art,7,5.61538461538461,5.0625
Male,31,9.33333,Nudes,7.66666666666667,8.38461538461539,6.125
Female,37,16,Abstract art,6,6.38461538461539,4.625
Male,33,5.83333,Nudes,5,4.92307692307692,4.25
Female,34,1,Abstract art,7.33333333333333,7.84615384615385,5.4375
Male,37,60,Abstract art,7.33333333333333,9,1.3125
Male,42,24,Abstract art,8.33333333333333,8.61538461538461,5.1875
Female,26,2.75,Nudes,8.33333333333333,8.15384615384615,2.5625
Female,28,4.66667,Nudes,8.33333333333333,8.46153846153846,6.5625
Male,37,10,Nudes,7,7.61538461538461,6.25
Male,34,4,Abstract art,8,6.38461538461539,4.1875
Female,28,8,Abstract art,7,8.61538461538461,5
Female,30,5.5,Abstract art,9,8.38461538461539,6.5
Female,30,4,Nudes,7.33333333333333,5.46153846153846,3.25
Male,39,6.33333,Abstract art,8.33333333333333,4.07692307692308,5.3125
Male,22,1.5,Nudes,9,7.84615384615385,3
Female,28,5.75,Abstract art,5,6.61538461538461,5.3125
Female,20,1.41667,Nudes,5.33333333333333,8.30769230769231,5.8125
Female,32,17.6667,Abstract art,7.33333333333333,8.15384615384615,4.1875
Male,53,30.5,Nudes,8.33333333333333,8.38461538461539,6.1875
Male,41,13.5,Abstract art,9,8.61538461538461,4.375
Male,28,4.25,Abstract art,6,7.23076923076923,4.875
Female,33,7.25,Abstract art,6.33333333333333,7.23076923076923,4
Female,26,3.33333,Abstract art,8,6.46153846153846,5.1875
Male,33,1,Abstract art,8,7.61538461538461,4.25
Male,29,10,Nudes,6.66666666666667,7.38461538461539,6.125
Female,34,13.9167,Abstract art,9,8.38461538461539,7
Female,41,23.0833,Nudes,8,7.53846153846154,1.1875
Female,26,5.41667,Abstract art,7.33333333333333,8,4.5
Male,52,10.5,Nudes,8.66666666666667,6,5.25
Female,26,8.33333,Nudes,6.33333333333333,6.69230769230769,4
Male,28,2.41667,Abstract art,8,7.61538461538461,5.8125
Male,32,10.25,Nudes,7.33333333333333,7.30769230769231,4.875
Male,29,5.5,Abstract art,7,5.84615384615385,4.0625
Male,28,8.16667,Nudes,8.66666666666667,6.76923076923077,6
Female,45,8.25,Abstract art,7.66666666666667,6.69230769230769,5.875
Male,25,5.08333,Nudes,8,8.15384615384615,7
Female,21,1.16667,Nudes,6.33333333333333,6.53846153846154,3.6875
Female,40,11,Nudes,5,4.46153846153846,4.8125
Female,53,3.16667,Abstract art,8.66666666666667,9,5.6875
Male,50,15.9167,Abstract art,7.33333333333333,5.38461538461539,4.25
Female,83,2.08333,Nudes,8,4.07692307692308,3.625
Female,33,2.08333,Abstract art,6,5.15384615384615,4.1875
Male,30,14.25,Nudes,8.33333333333333,8.30769230769231,6.3125
Female,34,11.5,Nudes,2,4.61538461538461,4.75
Male,69,53.6667,Abstract art,9,8.92307692307692,5.5625
Female,24,3.33333,Abstract art,6,6,5.1875
Male,34,10.0833,Nudes,8.33333333333333,8.38461538461539,4.9375
Female,30,8.16667,Abstract art,5.66666666666667,7.07692307692308,4.875
Male,31,16.0833,Abstract art,9,7.53846153846154,5
Male,33,6.33333,Abstract art,6.66666666666667,6.07692307692308,4.25
Female,32,14.1667,Abstract art,9,8.46153846153846,5.5
Male,33,3.16667,Abstract art,8,7,4.75
Male,31,2,Nudes,9,8.69230769230769,6.0625
Male,24,0.666667,Nudes,5.66666666666667,5.46153846153846,5.5625
Female,25,0.583333,Abstract art,6.66666666666667,7.69230769230769,4.125
Female,26,7.16667,Nudes,9,7.76923076923077,4.625
Male,48,27.1667,Nudes,8,8.38461538461539,6.9375
Male,28,2.25,Abstract art,7.66666666666667,7.07692307692308,4
Male,31,9,Abstract art,8.33333333333333,8.23076923076923,4.1875
Male,54,25.0833,Abstract art,7.66666666666667,7.30769230769231,6.375
Female,21,1.83333,Abstract art,8.66666666666667,8,5
Male,35,8.33333,Nudes,2.66666666666667,4.76923076923077,4.0625
Male,34,13.25,Abstract art,8,7.30769230769231,4.9375
Female,22,1.41667,Abstract art,3,5.23076923076923,5.3125
Male,33,8.75,Abstract art,5.33333333333333,5.76923076923077,4.8125
Male,33,5,Nudes,9,7.92307692307692,4.375
Male,30,2.5,Nudes,8,8.46153846153846,7
Female,33,4.83333,Nudes,4,5.53846153846154,6.5625
Male,29,5,Abstract art,5,6.61538461538461,4.75
Male,40,7.33333,Abstract art,7.66666666666667,8.23076923076923,4.1875
