Class,Age,Sex,Status
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
crew,adult,male,died
1st,child,female,survived
2nd,child,female,survived
2nd,child,female,survived
2nd,child,female,survived
2nd,child,female,survived
2nd,child,female,survived
2nd,child,female,survived
2nd,child,female,survived
2nd,child,female,survived
2nd,child,female,survived
2nd,child,female,survived
2nd,child,female,survived
2nd,child,female,survived
2nd,child,female,survived
3rd,child,female,survived
3rd,child,female,survived
3rd,child,female,survived
3rd,child,female,survived
3rd,child,female,survived
3rd,child,female,survived
3rd,child,female,survived
3rd,child,female,survived
3rd,child,female,survived
3rd,child,female,survived
3rd,child,female,survived
3rd,child,female,survived
3rd,child,female,survived
3rd,child,female,survived
3rd,child,female,died
3rd,child,female,died
3rd,child,female,died
3rd,child,female,died
3rd,child,female,died
3rd,child,female,died
3rd,child,female,died
3rd,child,female,died
3rd,child,female,died
3rd,child,female,died
3rd,child,female,died
3rd,child,female,died
3rd,child,female,died
3rd,child,female,died
3rd,child,female,died
3rd,child,female,died
3rd,child,female,died
1st,adult,female,survived
1st,adult,female,survived
1st,adult,female,survived
1st,adult,female,survived
1st,adult,female,survived
1st,adult,female,survived
1st,adult,female,survived
1st,adult,female,survived
1st,adult,female,survived
1st,adult,female,survived
1st,adult,female,survived
1st,adult,female,survived
1st,adult,female,survived
1st,adult,female,survived
1st,adult,female,survived
1st,adult,female,survived
1st,adult,female,survived
1st,adult,female,survived
1st,adult,female,survived
1st,adult,female,survived
1st,adult,female,survived
1st,adult,female,survived
1st,adult,female,survived
1st,adult,female,survived
1st,adult,female,survived
1st,adult,female,survived
1st,adult,female,survived
1st,adult,female,survived
1st,adult,female,survived
1st,adult,female,survived
1st,adult,female,survived
1st,adult,female,survived
1st,adult,female,survived
1st,adult,female,survived
1st,adult,female,survived
1st,adult,female,survived
1st,adult,female,survived
1st,adult,female,survived
1st,adult,female,survived
1st,adult,female,survived
1st,adult,female,survived
1st,adult,female,survived
1st,adult,female,survived
1st,adult,female,survived
1st,adult,female,survived
1st,adult,female,survived
1st,adult,female,survived
1st,adult,female,survived
1st,adult,female,survived
1st,adult,female,survived
1st,adult,female,survived
1st,adult,female,survived
1st,adult,female,survived
1st,adult,female,survived
1st,adult,female,survived
1st,adult,female,survived
1st,adult,female,survived
1st,adult,female,survived
1st,adult,female,survived
1st,adult,female,survived
1st,adult,female,survived
1st,adult,female,survived
1st,adult,female,survived
1st,adult,female,survived
1st,adult,female,survived
1st,adult,female,survived
1st,adult,female,survived
1st,adult,female,survived
1st,adult,female,survived
1st,adult,female,survived
1st,adult,female,survived
1st,adult,female,survived
1st,adult,female,survived
1st,adult,female,survived
1st,adult,female,survived
1st,adult,female,survived
1st,adult,female,survived
1st,adult,female,survived
1st,adult,female,survived
1st,adult,female,survived
1st,adult,female,survived
1st,adult,female,survived
1st,adult,female,survived
1st,adult,female,survived
1st,adult,female,survived
1st,adult,female,survived
1st,adult,female,survived
1st,adult,female,survived
1st,adult,female,survived
1st,adult,female,survived
1st,adult,female,survived
1st,adult,female,survived
1st,adult,female,survived
1st,adult,female,survived
1st,adult,female,survived
1st,adult,female,survived
1st,adult,female,survived
1st,adult,female,survived
1st,adult,female,survived
1st,adult,female,survived
1st,adult,female,survived
1st,adult,female,survived
1st,adult,female,survived
1st,adult,female,survived
1st,adult,female,survived
1st,adult,female,survived
1st,adult,female,survived
1st,adult,female,survived
1st,adult,female,survived
1st,adult,female,survived
1st,adult,female,survived
1st,adult,female,survived
1st,adult,female,survived
1st,adult,female,survived
1st,adult,female,survived
1st,adult,female,survived
1st,adult,female,survived
1st,adult,female,survived
1st,adult,female,survived
1st,adult,female,survived
1st,adult,female,survived
1st,adult,female,survived
1st,adult,female,survived
1st,adult,female,survived
1st,adult,female,survived
1st,adult,female,survived
1st,adult,female,survived
1st,adult,female,survived
1st,adult,female,survived
1st,adult,female,survived
1st,adult,female,survived
1st,adult,female,survived
1st,adult,female,survived
1st,adult,female,survived
1st,adult,female,survived
1st,adult,female,survived
1st,adult,female,survived
1st,adult,female,survived
1st,adult,female,survived
1st,adult,female,survived
1st,adult,female,died
1st,adult,female,died
1st,adult,female,died
1st,adult,female,died
2nd,adult,female,survived
2nd,adult,female,survived
2nd,adult,female,survived
2nd,adult,female,survived
2nd,adult,female,survived
2nd,adult,female,survived
2nd,adult,female,survived
2nd,adult,female,survived
2nd,adult,female,survived
2nd,adult,female,survived
2nd,adult,female,survived
2nd,adult,female,survived
2nd,adult,female,survived
2nd,adult,female,survived
2nd,adult,female,survived
2nd,adult,female,survived
2nd,adult,female,survived
2nd,adult,female,survived
2nd,adult,female,survived
2nd,adult,female,survived
2nd,adult,female,survived
2nd,adult,female,survived
2nd,adult,female,survived
2nd,adult,female,survived
2nd,adult,female,survived
2nd,adult,female,survived
2nd,adult,female,survived
2nd,adult,female,survived
2nd,adult,female,survived
2nd,adult,female,survived
2nd,adult,female,survived
2nd,adult,female,survived
2nd,adult,female,survived
2nd,adult,female,survived
2nd,adult,female,survived
2nd,adult,female,survived
2nd,adult,female,survived
2nd,adult,female,survived
2nd,adult,female,survived
2nd,adult,female,survived
2nd,adult,female,survived
2nd,adult,female,survived
2nd,adult,female,survived
2nd,adult,female,survived
2nd,adult,female,survived
2nd,adult,female,survived
2nd,adult,female,survived
2nd,adult,female,survived
2nd,adult,female,survived
2nd,adult,female,survived
2nd,adult,female,survived
2nd,adult,female,survived
2nd,adult,female,survived
2nd,adult,female,survived
2nd,adult,female,survived
2nd,adult,female,survived
2nd,adult,female,survived
2nd,adult,female,survived
2nd,adult,female,survived
2nd,adult,female,survived
2nd,adult,female,survived
2nd,adult,female,survived
2nd,adult,female,survived
2nd,adult,female,survived
2nd,adult,female,survived
2nd,adult,female,survived
2nd,adult,female,survived
2nd,adult,female,survived
2nd,adult,female,survived
2nd,adult,female,survived
2nd,adult,female,survived
2nd,adult,female,survived
2nd,adult,female,survived
2nd,adult,female,survived
2nd,adult,female,survived
2nd,adult,female,survived
2nd,adult,female,survived
2nd,adult,female,survived
2nd,adult,female,survived
2nd,adult,female,survived
2nd,adult,female,died
2nd,adult,female,died
2nd,adult,female,died
2nd,adult,female,died
2nd,adult,female,died
2nd,adult,female,died
2nd,adult,female,died
2nd,adult,female,died
2nd,adult,female,died
2nd,adult,female,died
2nd,adult,female,died
2nd,adult,female,died
2nd,adult,female,died
3rd,adult,female,survived
3rd,adult,female,survived
3rd,adult,female,survived
3rd,adult,female,survived
3rd,adult,female,survived
3rd,adult,female,survived
3rd,adult,female,survived
3rd,adult,female,survived
3rd,adult,female,survived
3rd,adult,female,survived
3rd,adult,female,survived
3rd,adult,female,survived
3rd,adult,female,survived
3rd,adult,female,survived
3rd,adult,female,survived
3rd,adult,female,survived
3rd,adult,female,survived
3rd,adult,female,survived
3rd,adult,female,survived
3rd,adult,female,survived
3rd,adult,female,survived
3rd,adult,female,survived
3rd,adult,female,survived
3rd,adult,female,survived
3rd,adult,female,survived
3rd,adult,female,survived
3rd,adult,female,survived
3rd,adult,female,survived
3rd,adult,female,survived
3rd,adult,female,survived
3rd,adult,female,survived
3rd,adult,female,survived
3rd,adult,female,survived
3rd,adult,female,survived
3rd,adult,female,survived
3rd,adult,female,survived
3rd,adult,female,survived
3rd,adult,female,survived
3rd,adult,female,survived
3rd,adult,female,survived
3rd,adult,female,survived
3rd,adult,female,survived
3rd,adult,female,survived
3rd,adult,female,survived
3rd,adult,female,survived
3rd,adult,female,survived
3rd,adult,female,survived
3rd,adult,female,survived
3rd,adult,female,survived
3rd,adult,female,survived
3rd,adult,female,survived
3rd,adult,female,survived
3rd,adult,female,survived
3rd,adult,female,survived
3rd,adult,female,survived
3rd,adult,female,survived
3rd,adult,female,survived
3rd,adult,female,survived
3rd,adult,female,survived
3rd,adult,female,survived
3rd,adult,female,survived
3rd,adult,female,survived
3rd,adult,female,survived
3rd,adult,female,survived
3rd,adult,female,survived
3rd,adult,female,survived
3rd,adult,female,survived
3rd,adult,female,survived
3rd,adult,female,survived
3rd,adult,female,survived
3rd,adult,female,survived
3rd,adult,female,survived
3rd,adult,female,survived
3rd,adult,female,survived
3rd,adult,female,survived
3rd,adult,female,survived
3rd,adult,female,died
3rd,adult,female,died
3rd,adult,female,died
3rd,adult,female,died
3rd,adult,female,died
3rd,adult,female,died
3rd,adult,female,died
3rd,adult,female,died
3rd,adult,female,died
3rd,adult,female,died
3rd,adult,female,died
3rd,adult,female,died
3rd,adult,female,died
3rd,adult,female,died
3rd,adult,female,died
3rd,adult,female,died
3rd,adult,female,died
3rd,adult,female,died
3rd,adult,female,died
3rd,adult,female,died
3rd,adult,female,died
3rd,adult,female,died
3rd,adult,female,died
3rd,adult,female,died
3rd,adult,female,died
3rd,adult,female,died
3rd,adult,female,died
3rd,adult,female,died
3rd,adult,female,died
3rd,adult,female,died
3rd,adult,female,died
3rd,adult,female,died
3rd,adult,female,died
3rd,adult,female,died
3rd,adult,female,died
3rd,adult,female,died
3rd,adult,female,died
3rd,adult,female,died
3rd,adult,female,died
3rd,adult,female,died
3rd,adult,female,died
3rd,adult,female,died
3rd,adult,female,died
3rd,adult,female,died
3rd,adult,female,died
3rd,adult,female,died
3rd,adult,female,died
3rd,adult,female,died
3rd,adult,female,died
3rd,adult,female,died
3rd,adult,female,died
3rd,adult,female,died
3rd,adult,female,died
3rd,adult,female,died
3rd,adult,female,died
3rd,adult,female,died
3rd,adult,female,died
3rd,adult,female,died
3rd,adult,female,died
3rd,adult,female,died
3rd,adult,female,died
3rd,adult,female,died
3rd,adult,female,died
3rd,adult,female,died
3rd,adult,female,died
3rd,adult,female,died
3rd,adult,female,died
3rd,adult,female,died
3rd,adult,female,died
3rd,adult,female,died
3rd,adult,female,died
3rd,adult,female,died
3rd,adult,female,died
3rd,adult,female,died
3rd,adult,female,died
3rd,adult,female,died
3rd,adult,female,died
3rd,adult,female,died
3rd,adult,female,died
3rd,adult,female,died
3rd,adult,female,died
3rd,adult,female,died
3rd,adult,female,died
3rd,adult,female,died
3rd,adult,female,died
3rd,adult,female,died
3rd,adult,female,died
3rd,adult,female,died
3rd,adult,female,died
crew,adult,female,survived
crew,adult,female,survived
crew,adult,female,survived
crew,adult,female,survived
crew,adult,female,survived
crew,adult,female,survived
crew,adult,female,survived
crew,adult,female,survived
crew,adult,female,survived
crew,adult,female,survived
crew,adult,female,survived
crew,adult,female,survived
crew,adult,female,survived
crew,adult,female,survived
crew,adult,female,survived
crew,adult,female,survived
crew,adult,female,survived
crew,adult,female,survived
crew,adult,female,survived
crew,adult,female,survived
crew,adult,female,died
crew,adult,female,died
crew,adult,female,died
